Instrument,Date,Cash Flow from Operations Pct of Capital Expenditures,CAPEX to Depreciation & Amortization,CAPEX to Cash Flow from Operations,Depreciation & Depletion Pct of Cash Flow from Ops,"Depreciation & Depletion Pct of Cash Flow from Ops, TTM","Price to Cash Flow from Operations per Share, TTM","Price to Cash Flow from Operations per Share - Issue, TTM",Free Cash Flow Yield - %,"Free Cash Flow Yield - %, TTM","Free Cash Flow Yield - %, 3 Yr Avg","Free Cash Flow Yield - %, 5 Yr Avg",Cash Flow from Operations per Share,Capital Expenditures - Total per Share,"Cash Flow from Operations per Share, TTM",Free Cash Flow Net of Dividends per Share,"Free Cash Flow Net of Dividends per Share, TTM",Free Cash Flow per Share,"Free Cash Flow per Share, TTM","Capital Expenditures - Total per Share, TTM","Free Cash Flow Net of Dividends per Share, 3 Yr Avg","Free Cash Flow Net of Dividends per Share, 5 Yr Avg","Free Cash Flow Net of Dividends per Share, Annualized","Free Cash Flow per Share, 3 Yr Avg","Free Cash Flow per Share, 5 Yr Avg","Free Cash Flow per Share, Annualized","Cash Flow from Operations per Share, PoP % Chg","Cash Flow from Operations per Share, YoY % Chg",Target
LHK.BK,2012-03-31,232.28932,1.13399,0.4305,36.9896,36.6767512095791,10.9871022542669,10.9871022542669,9.62941160714286,7.38885306999074,15.4883513382524,13.7038018151912,0.473437046875,0.203813521875,0.338578809399478,0.049623525,-0.320697036553525,0.269623525,0.274865334203655,0.063713475195822,0.028884440382942,0.109440640003933,-1.96720456351459,0.477686569190601,0.294357662990306,-0.587008173458962,168.479796645587,-192.265930936276,0
LHK.BK,2011-03-31,107.014,0.8029,0.93446,111.94222,20.3364419616883,5.96195011159966,5.96195011159966,0.375253956980519,15.1290256862607,15.5774372786757,14.438468685472582,0.176339915625,0.16478209375,0.620602308093995,-0.138442178125,0.180817323759791,0.011557821875,0.559773950391645,0.06082835770235,0.034148640557006,0.031204268337266,-0.056133925530707,0.480953375979112,0.172121291323639,0.657996509251902,-63.5855410920679,-18.5336693430229,0
LHK.BK,2010-03-31,727.54163,0.34831,0.13745,37.75221,19.5476541778942,5.28791245460738,5.28791245460738,23.7327897727273,17.4205462886982,14.825911469781,14.438468685472582,0.484257959375,0.066560859375,0.661886903394256,0.4176971,0.310762493472585,0.4176971,0.609719120104439,0.052167783289817,0.009312753698869,-0.238605629371067,0.485938103076399,0.473317223672759,-0.127688606384694,0.754436229992054,-53.9423914445344,21.5159348107051,0
LHK.BK,2009-03-31,487.08112,1.13209,0.2053,17.35204,21.7558731003114,5.30144287000295,5.30144287000295,77.3663880208333,17.4018861084023,15.6818377128228,14.438468685472582,1.051417940625,0.21586095,0.626244605744125,0.725556990625,0.221135861618799,0.835556990625,0.577742618798956,0.04850198694517,0.032358938207137,-0.292953919855966,0.264924729679873,0.516063142732811,-0.182036896869593,0.264928748864797,2065.432850572,-62.5267650369009,0
LHK.BK,2008-03-31,43.66355,0.48962,2.29024,447.18465,18.0645180443716,3.28906837963366,3.28906837963366,-3.10134270041932,28.2952864923303,16.5994576604849,14.438468685472582,0.048554631483829,0.111201754032299,0.77833590078329,-0.507232237480336,0.367752624020888,-0.06264712254847,0.724359334203655,0.053976566579634,0.067622268059182,0.08467108859591424,0.022644170734476,0.565073204525675,0.3848651494350225,0.543480815075491,119.116623832998,-21.9733059263066,0
LHK.BK,2007-03-31,-290.0552,0.41067,0.45741722222222214,55.41975055555556,17.346513077304,2.68409213514178,2.68409213514178,17.523723567122676,28.2056284120579,16.2621599749093,14.438468685472582,-0.253991666666667,0.087566666666667,0.819643994778068,-0.341558333333333,0.21754635770235,-0.341558333333333,0.620523825065274,0.199120169712794,0.068683865535248,0.08467108859591424,0.453018078101941,0.579881521105309,0.3848651494350225,0.849757208536724,60.6895039595532,1.985559566787,0
LHK.BK,2006-03-31,-76.79295,10.01339,0.45741722222222214,55.41975055555556,17.4090007242301,3.01726767514463,3.01726767514463,17.523723567122676,23.7382055445881,15.8579577166454,14.438468685472582,-0.646116666666667,0.841375,0.815307180156658,-1.48749166666667,0.100982389033943,-1.48749166666667,0.583959856396867,0.231347323759791,0.079443678851175,0.08467108859591424,0.130354183221705,0.593748366840731,0.3848651494350225,0.627572936769213,-270.458587582968,51.5961005447768,0
LHK.BK,2005-03-31,162.61759,1.86385,0.61494,32.993,18.3813448749977,2.56942054122452,2.56942054122452,17.523723567122676,26.3921302805115,15.631470589057,14.438468685472582,0.379046122479562,0.233090474904056,0.758925979112272,0.145955647575506,0.084306148825065,0.145955647575506,0.514646540469974,0.244279438642298,0.102970463446475,0.08467108859591424,0.846610797905551,0.60871551718886,0.3848651494350225,0.846614630633443,120.05564721095597,12.5603611765554,0
SAM.BK,2024-12-31,44.69965,0.92226,2.23715,242.57171,242.571711198573,8.06932724175805,8.06932724175805,-15.3315629414325,-15.3315629414325,-6.24448015740081,-1.22910009443726,0.024785213687334,0.055448339570199,0.024785213687334,-0.030663125882865,-0.030663125882865,-0.030663125882865,-0.030663125882865,0.055448339570199,-0.035754676528946,-0.007306229802675,0.325281671401278,-0.03574964890112,-0.007300854560957,0.325281671401278,123.601514855746,145.948749906022,0
SAM.BK,2023-12-31,-182.60154,0.95576,0.842853076923077,164.6963623076923,8980.0578527632,874.9125462762439,874.9125462762439,-43.9259485953332,-245.205505726885,-5.67422857583755,-1.90682437954475,-0.105015351085824,0.057510658716908,-0.269606247737466,-0.162526009802733,-0.318767157444951,-0.162526009802733,-0.318767157444951,0.049160909707485,-0.037125905115615,-0.011980327070761,-0.010252408038672,-0.037118911933604,-0.011974857103541,-0.010252408038672,-152.6163935053,-85.5575336067158,0
